port,addr,epoch,utc,GrossQty#2,FlowRate#4,GrossTotal#17,NetTotal#18,PrevGross#100,PrevNet#101,longi,longimm,lati,latimm,reserved
1,0x003EC80,1727717205,2024-09-30 17:26:45,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003ECC0,1727717205,2024-09-30 17:26:45,10.8,0.0,1999.3,0.0,1988.5,1988.5,0,0,0,0,0000000000000000000000000000000000000000
1,0x003ED00,1727717206,2024-09-30 17:26:46,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003ED40,1727717206,2024-09-30 17:26:46,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003ED80,1727717207,2024-09-30 17:26:47,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003EDC0,1727717207,2024-09-30 17:26:47,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003EE00,1727717208,2024-09-30 17:26:48,10.8,10.8,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003EE40,1727717209,2024-09-30 17:26:49,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003EE80,1727717210,2024-09-30 17:26:50,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003EEC0,1727717210,2024-09-30 17:26:50,10.8,0.0,1999.3,0.0,1988.5,1988.5,0,0,0,0,0000000000000000000000000000000000000000
1,0x003EF00,1727717211,2024-09-30 17:26:51,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003EF40,1727717211,2024-09-30 17:26:51,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003EF80,1727717212,2024-09-30 17:26:52,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003EFC0,1727717212,2024-09-30 17:26:52,10.8,0.0,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
1,0x003F000,1727717213,2024-09-30 17:26:53,10.8,10.8,1999.3,0.0,1988.5,0.0,0,0,0,0,0000000000000000000000000000000000000000
